Name,Notes,City,State,Contact,Schedule,Address,Phone,Source
Los Campeones,,Brooklyn Center,MN,Brandon Wilson,,"6440 James Cir N, Brooklyn Center, MN 55430",763-205-0666,Sheet1
Mashkawizii Academy,,,,,,,,Sheet1
McCune's Martial Arts,,Brooklyn Park,MN,Dave Bergem,"? 630 pm, Sat 1pm, Sun 930 am","8616 Xylon Ave N, Brooklyn Park, MN 55445",763-416-0333,Sheet1
Midway Judo Club,,West St. Paul,MN,Cary Yamanaka,NONE,"1068 S Roberts St, West St. Paul, MN 55118",651-453-0403,Sheet1
Migration Jiujitsu,,,,,,,,Sheet1
Minnesota Kali Group (MKG Martial Arts),,Minneapolis,MN,,,"4532 Chicago Ave, Minneapolis, MN 55407",612-821-6800,Sheet1
Minnesota Kali Group (MKG Martial Arts) Edina,,Edina,MN,,,"7119 Amundson Ave, Edina, MN 55439",,Sheet1
Minnesota Kali Group (MKG Martial Arts) North,,Mounds View,MN,Peter Kwong,? Sat 900 am ?,"2552 County Hwy 10, Mounds View, MN 55112",612-564-9697,Sheet1
MSMA Mn School of Martial Arts,"April 21, 24",Chisago City,MN,Blummer Brothers,Sunday 430 pm - 600 pm Open,"11217 Lake Blvd, Chisago City, MN 55013",651-257-0727,Sheet1
Motion City Jiujitsu,Nov/10/24,New Brighton,MN,"Michelle Donovan, Aiden, Brian",,,,Sheet1
MTT Minnesota Top Team,,Eagan,MN,Jeremy Clark,Saturday 11 am - 1200 noon,"3500 Dodd Rd, Eagan, MN 55123",651-340-4349,Sheet1
Mtheory Martial Arts,daily,St Louis Park,MN,Ishmael Bentley,"F 6-7, Sat 11-12","5700 W 36th St, St Louis Park, MN 55416",507-403-8596,Sheet1
Next Level Combat,,Woodbury,MN,Nate Klonfield,Sat 10-11 am No Gi,"1890 Wooddale Dr, Woodbury, MN 55125",651-890-9782,Sheet1
Pearson Brazilian Jiujitsu,,Northfield,MN,Alex Pearson - Tam Blackstone,Sat 10-11 am,"2010 Jefferson Rd Suite B, Northfield, MN 55057",507-403-8596,Sheet1
Prodigy Martial Arts,,Blaine,MN,"Justin Kahmann, Thao Le, Miki","M+F 715-745, Sat 1045-1115, Sun","1630 101st Ave NE #190, Blaine, MN 55449",763-888-8699,Sheet1
Pro Fitness Training,,,,,,,,Sheet1
Rebel Jiujitsu,,Eagan,MN,Tim Blackstone,Sat 10 am,"2020 Silver Bell Rd #4, Eagan, MN 55122",952-994-5719,Sheet1
Rebel Jiujitsu North,,Rogers,MN,Nate Schutz,Sat 10 am,"12510 Fletcher Ln, Rogers, MN 55374",763-464-4503,Sheet1
Rebel Mankato,,,,,,,,Sheet1
Resilience Martial Arts Grace JJ Lakeville,,Lakeville,MN,,? Unknown,17630 Juniper Path Suite G,,Sheet1
Rio Jitsu,,Apple Valley,MN,Joao Marinbo,? Unknown,"6950 146th St W #118, Apple Valley, MN 55124",952-388-1799,Sheet1
Romulus Jiujitsu,May 13 2025,Golden Valley,MN,Coach Keir,,"8808 7th Ave N, Golden Valley, MN 55427",218-461-0311,Sheet1
Royce Gracie Jiujitsu Academy,,Shakopee,MN,John King,Sat 10 am?,"215 1st Ave E, Shakopee, MN 55379",952-222-9882,Sheet1
ShinZenKai Danzan Ryu Jiujitsu,,St. Paul,MN,"Nate Hill, Dan Browning",? M + W 600 pm ?,"755 Prior Ave, St. Paul, MN 55104",,Sheet1
Shoshin Ryu,,Plymouth,MN,Brian Combo / Mr. Robbie,Sat 12 - 1 Ground Training,"13605 27th Ave N, Plymouth, MN 55441",763-248-6122,Sheet1
Shoujiki Jiujitsu,,Champlin,MN,,? Sat 930 ?,"11468 Marketplace Dr N, Champlin, MN 55316",763-228-4558,Sheet1
Southside Brazilian Jiujitsu Academy,,Minneapolis,MN,Enrique Muniz,"F 5, Sun ? pm, 12 noon, 12 more","2303 Kennedy St NE, Minneapolis, MN 55413",612-804-6456,Sheet1
Spartan Martial Arts Gym,,Oakdale,MN,Tom Schnitz,? Sat Noon - 100 pm,"432 Hayward Ave N, Oakdale, MN 55128",651-210-1631,Sheet1
Start BJJ,,St Cloud,MN,,,"1608 US 52, Rochester, MN 55901",507-512-3698,Sheet1
Stock Martial Arts,,Rochester,MN,Ryan Stock,,,952-900-2523,Sheet1
Stoic Martial Arts,,Chanhassen,MN,Mason McClellan,Sat 10 am Gi Rolls,"1855 Park Rd, Chanhassen, MN 55317",,Sheet1
Striking Institute,,Little Canada,MN,Kathy Bridges,,"3225 Country Dr #120, Little Canada, MN",763-200-1024,Sheet1
Tensei Jiujitsu,4-Mar-24,Minneapolis,MN,Fabio Moresca,Sat 8 am at Bellum,"6001 Lyndale Ave S, Studio 3, Minneapolis, MN 55419",612-355-9763,Sheet1
The Cellar Gym,27-Jan-24,Roseville,MN,"Ben Locken, Dave Margraf",Sat 1130 - 1230,"2480 Fairview Ave N, Suite #1, Roseville, MN 55113",612-355-2259,Sheet1
Tracks Brazilian Jiujitsu,,Andover,MN,Philip Guillen (X2),? Sun 9 am ?,"15190 Bluebird St NW Suite 112, Andover, MN 55304",612-799-9942,Sheet1
Tuffs Karate and Brazilian Jiujitsu,,Coon Rapids,MN,Nate Howe,CLOSED,,,Sheet1
Twin Cities BJJ,,,,,,,,Sheet1
United Jiujitsu,,Maplewood,MN,Stan Riser,NO OPEN MAT,"2055 White Bear Ave Suite 100, Maplewood, MN 55109",651-300-7743,Sheet1
Underground Brazilian Jiujitsu,,Red Wing,MN,Oscar Amaral Prata 4th degree,Sunday 10 - 12,"415 Main St, Red Wing, MN 55066",651-327-7660,Sheet1
Underground Brazilian Jiujitsu,,Shakopee,MN,John King,? Unknown,"215 1st Ave E, Shakopee, MN 55379",952-388-8737,Sheet1
Warrior's Cove Martial Arts and Fitness,,St. Louis Park,MN,? Owner David Arnebeck,Not Open to outsiders,"7107 Cedar Lk Rd S, St Louis Park, MN 55426",612-328-9488,Sheet1
Warrior's Cove Martial Arts and Fitness,,Little Canada,MN,? Owner David Arnebeck,Not Open to outsiders,"2900 Rice St, Little Canada, MN 55113",612-208-7984,Sheet1
World Jiujitsu Academy,30-Jan-24,Eden Prairie,MN,Jeremy Anderson,Tue 630 pm Marathon Roll,"6900 Shady Oak Rd #100, Eden Prairie, MN 55344",612-270-8620,Sheet1
World of Self Defense - Combat Jiujitsu,,Minneapolis,MN,"Steve Peterson, Roger Fass",Sat 2 - 3 PM ?,"5406 43rd Ave S, Minneapolis, MN 55417",612-726-9369,Sheet1
Wrestle Jitsu,,St Cloud,MN,Jake Clark,,,,Sheet1
X2 Fitness,,Minneapolis,MN,Gina Franssen,? No Open Mat,"2524 Nicollet Ave #200, Minneapolis, MN 55404",,Sheet1
Academy Brooklyn Center HQ,2023,Brooklyn Center,MN,Greg Nelson,? Not Listed ?,"6840 Shingle Creek Pkwy Ste #24, Brooklyn Center, MN 55430",763-560-5096,Visited
Academy Burnsville,,Burnsville,MN,,,"11921 Portland ave, Burnsville, MN 55337",952-977-8781,Visited
Academy Eden Prairie,Jan 01 24,Eden Prairie,MN,Hayden Buckner,? 5-7pm no gi,"7116 Shady Oak Rd, Eden Prairie, MN 55344",,Visited
Academy Plymouth,Feb 15 24,Plymouth,MN,,,"13605 27th Ave N, Plymouth, MN 55441",763-244-6122,Visited
Academy St. Paul Brazilian Jiujitsu Academy,,,,Brandon Bergeron,? No schedule,"322 Chester St, St Paul, MN 55107",651-600-6889,Visited
Alliance BJJ St. Croix,Feb 10 28,St. Croix,WI,Brian Olson,Sat 1045 - 1200 noon,,,Visited
Atheneum Martial Arts,2021,Medina,,,,,,Visited
Bellum Brazilian Jiujitsu,,St Paul,MN,Derek Barlow,Sat 8 - 10 am,"655 Fairview Ave N, Suite 260, St. Paul, MN 55104",,Visited
Cellar Gym The,Jan 27 24,Roseville,MN,"Ben Locken, Dave Margraf",Sat 1130 - 1230,"2480 Fairview Ave N, Suite #1, Roseville, MN 55113",,Visited
Club 37 Jiujitsu,17-May-25,Eau Claire,WI,,,,,Visited
Defiant Jiu-Jitsu,,,,,,,,Visited
DNA Jiujitsu,Jan 06 24,Minneapolis,MN,David Soto,Sat 12 - 2,"403 St 8th Ave, Minneapolis, MN 55414",,Visited
Grappler Station,Feb 09 25,St. Paul,MN,"Sensei Max, Sensei Carl",Sun 10 am Marathon BJJ,"2015 Ford Pkwy, St. Paul, MN 55116",612-356-2408,Visited
Great Lakes Combatives,Jul 25,Willmar,MN,"Trevor Haney, Daniel Zwilling",Saturday 930 - 1100,"1605 1st St South A01-02, Willmar, MN 56201",320-894-2990,Visited
Hamel Jiujitsu,,,MN,Darrin Homme,Sun 9-1030,"770 Tower Drive, Hamel, MN 55340",,Visited
Haus Jiu Jitsu,,Mendota Heights,MN,Jose Varella Barca,,"2535 Pilot Knob RD, Suite 126, Mendota Heights, MN 55120",,Visited
Integrative Defense Strategies,2023,Independence,,Todd Fossey,,"6315 W Main St, Independence, MN 55359",,Visited
Isanti Grappling Club,,,,,,101 Isanti Parkway Northeast Isanti MN 55040,,Visited
La Bodega Fitness and Fight Club,2025,Prior Lake,MN,Mitch White,"Fri 530 - 630, Sat 10-12","16861 Welcom Ave SE, Prior Lake, MN 55372",952-334-9336,Visited
Los Campeones,2025,,,Brandon Wilson,,"6440 James Cir N, Brooklyn Center, MN 55430",,Visited
McCune's Martial Arts,,,,,? 630 pm Sat 11 am Sun 530 am,"8616 Xylon Ave N, Brooklyn Park, MN 55445",763-416-0333,Visited
Motion City Jiujitsu,Nov/10/24,New Brighton,MN,"Michelle Donovan, Aiden, Brian",,"550 County Road D West #2, New Brighton, MN 55112",612-460-0116,Visited
MSMA Mn School of Martial Arts,"April 21, 24",Chisago City,MN,,Sunday 430 - 600 pm Open,"11217 Lake Blvd, Chisago City, MN 55013",,Visited
Mtheory Martial Arts,DAILY,St Louis Park,MN,Ishmael Bentley,,,,Visited
MTT Minnesota Top Team,2023,Eagan,,Jeremy Clark,Saturday 11 am - 1200 noon,"3500 Dodd Rd, Eagan, MN 55123",,Visited
Next Level Combat,,,,,,,,Visited
Prodigy Martial Arts,March 16 24,Blaine,,"Justin Kahmann, Thao Le","M+F 715-745, Sat 1045-1115","1630 101st Ave NE #190, Blaine, MN 55449",,Visited
Rebel Jiujitsu,,,,Tim Blackstone,,,,Visited
Rio Jitsu,,Apple Valley,MN,Joao Marinbo,,"6950 146th St W #118, Apple Valley, MN 55124",,Visited
Romulus Jiujitsu,May 13 2025,Golden Valley,MN,Coach Keir,,"8808 7th Ave N, Golden Valley, MN 55427",,Visited
Shoshin Ryu,2022,Plymouth,MN,Brian Combo / Mr. Robbie,Sat 12 - 1 Ground Training,"13605 27th Ave N, Plymouth, MN 55441",763-248-6122,Visited
Striking Institute,,Little Canada,MN,Kathy Bridges,,"3225 Country Dr #120, Little Canada, MN",,Visited
Stoic Martial Arts,April 27,Chanhassen,MN,Mason McClellan,Sat 10 am Gi Rolls,"1855 Park Rd, Chanhassen, MN 55317",952-900-5253,Visited
Tensei Jiujitsu,Mar 04 24,Minneapolis,MN,Fabio Moresca,,"6001 Lyndale Ave S, Studio 3, Minneapolis, MN 55419",,Visited
Tracks Brazilian Jiujitsu,,,,,,,,Visited
World Jiujitsu Academy,Jan 09 24,,,Jeremy Anderson,Tue 630 pm Marathon Roll,"6900 Shady Oak Rd #100, Eden Prairie, MN 55344",,Visited
Wrestle Jitsu,2022,St Cloud,MN,Jake Clark,,,,Visited
