Name,Contact,Schedule,Address,Phone
Great Lakes Combatives,"Trevor Haney, Daniel Zwilling",Sat 9:30-11:00 AM,"1605 1st St South A01-02, Willmar, MN 56201",320-894-2990
Gorilla Combat LLC,"Derek Barlow, Fabio Moresca",Mon+Thu 6:45 PM (?),"7887 Fuller Rd Suite 101, Eden Prairie, MN 55344",952-474-3213
Hamel Jiujitsu,Darrin Homme,Sun 9:00-10:30 AM,"770 Tower Drive, Hamel, MN 55340",612-490-8265
Haus Jiu-Jitsu,Jose Varela Barca,,"2535 Pilot Knob RD Suite 126, Mendota Heights, MN 55120",
High Ground Brazilian Jiujitsu,Chris Golv,Sat 11:00 AM (?),"5960 US 61 #2, White Bear Lake, MN 55110",651-724-9088
Integrative Defense Strategies,Todd Fossey,,"6315 W Main St., Independence, MN 55359",952-496-8948
Isanti Grappling Club,Chris Harsmann,,"101 Isanti Parkway Northeast, Isanti, MN 55040",
Krav Maga Minneapolis LLC,Eugene Garrett,Wed 7:30 PM (?),"2905 Garfield Ave, Minneapolis, MN 55408",612-558-2284
La Bodega Fitness and Fight Club,Mitch White,"Fri 5:30-6:30 PM, Sat 10:00 AM-12:00 PM","16861 Welcom Ave SE, Prior Lake, MN 55372",952-334-9536
Legacy American Martial Arts,Jack Small,,"1911 S Roberts St, West St. Paul, MN 55118",651-343-3320
Los Campeones,Brandon Wilson,,"6440 James Cir N, Brooklyn Center, MN 55430",763-205-0666
McCune's Martial Arts,Dave Bergem,"? 6:30 PM, Sat 1:00 PM, Sun 9:30 AM","8616 Xylon Ave N, Brooklyn Park, MN 55445",763-416-0333
Minnesota Kali Group (MKG Martial Arts),,,"4532 Chicago Ave, Minneapolis, MN 55407",612-821-6800
Minnesota Kali Group (MKG Martial Arts) Edina,,,"7119 Amundson Ave, Edina, MN 55439",
Minnesota Kali Group (MKG Martial Arts) North,Peter Kwong,Sat 9:00 AM (?),"2552 County Hwy 10, Mounds View, MN 55112",612-564-9697
MSMA Mn School of Martial Arts,Blummer Brothers,Sun 4:30-6:00 PM (Open),"11217 Lake Blvd, Chisago City, MN 55013",651-257-0727
Motion City Jiujitsu,"Michelle Donovan, Aiden, Brian",,"New Brighton, MN",
MTT Minnesota Top Team,Jeremy Clark,Sat 11:00 AM-12:00 PM,"3500 Dodd Rd, Eagan, MN 55123",651-340-4349
Mtheory Martial Arts,Ishmael Bentley,"Fri 6:00-7:00 PM, Sat 11:00 AM-12:00 PM","5700 W 36th St, St Louis Park, MN 55416",507-403-8596
Next Level Combat,Nate Klonfield,Sat 10:00-11:00 AM (No Gi),"1890 Wooddale Dr, Woodbury, MN 55125",651-890-9782
Pearson Brazilian Jiujitsu,Alex Pearson - Tam Blackstone,Sat 10:00-11:00 AM,"2010 Jefferson Rd Suite B, Northfield, MN 55057",507-403-8596
Prodigy Martial Arts,"Justin Kahmann, Thao Le, Miki","Mon+Fri 7:15-7:45 AM, Sat 10:45-11:15 AM, Sun","1630 101st Ave NE #190, Blaine, MN 55449",763-888-8699
Pro Fitness Training,,,,
Rebel Jiujitsu,Tim Blackstone,Sat 10:00 AM,"2020 Silver Bell Rd #4, Eagan, MN 55122",952-994-5719
Rebel Jiujitsu North,Nate Schutz,Sat 10:00 AM,"12510 Fletcher Ln, Rogers, MN 55374",763-464-4503
Rebel Mankato,,,,
Resilience Martial Arts Grace JJ Lakeville,,,"17630 Juniper Path Suite G, Lakeville, MN",
Rio Jitsu,Joao Marinbo,,"6950 146th St W #118, Apple Valley, MN 55124",952-388-1799
Romulus Jiujitsu,Coach Keir,,"8808 7th Ave N, Golden Valley, MN 55427",218-461-0311
Royce Gracie Jiujitsu Academy,John King,Sat 10:00 AM (?),"215 1st Ave E, Shakopee, MN 55379",952-222-9882
ShinZenKai Danzan Ryu Jiujitsu,"Nate Hill, Dan Browning",Mon+Wed 6:00 PM (?),"755 Prior Ave, St. Paul, MN 55104",
Shoshin Ryu,Brian Combo / Mr. Robbie,Sat 12:00-1:00 PM (Ground Training),"13605 27th Ave N, Plymouth, MN 55441",763-248-6122
Shoujiki Jiujitsu,,Sat 9:30 AM (?),"11468 Marketplace Dr N, Champlin, MN 55316",763-228-4558
Southside Brazilian Jiujitsu Academy,Enrique Muniz,"Fri 5:00 PM, Sun 12:00 PM (?)","2303 Kennedy St NE, Minneapolis, MN 55413",612-804-6456
Spartan Martial Arts Gym,Tom Schnitz,Sat 12:00-1:00 PM (?),"432 Hayward Ave N, Oakdale, MN 55128",651-210-1631
Start BJJ,,,"1608 US 52, Rochester, MN 55901, St Cloud, MN",507-512-3698
Stock Martial Arts,Ryan Stock,,"Rochester, MN",952-900-2523
Stoic Martial Arts,Mason McClellan,Sat 10:00 AM (Gi Rolls),"1855 Park Rd, Chanhassen, MN 55317",
Striking Institute,Kathy Bridges,,"3225 Country Dr #120, Little Canada, MN",763-200-1024
Tensei Jiujitsu,Fabio Moresca,Sat 8:00 AM (at Bellum),"6001 Lyndale Ave S, Studio 3, Minneapolis, MN 55419",612-355-9763
The Cellar Gym,"Ben Locken, Dave Margraf",Sat 11:30 AM-12:30 PM,"2480 Fairview Ave N, Suite #1, Roseville, MN 55113",612-355-2259
Tracks Brazilian Jiujitsu,Philip Guillen (X2),Sun 9:00 AM (?),"15190 Bluebird St NW Suite 112, Andover, MN 55304",612-799-9942
Underground Brazilian Jiujitsu,Oscar Amaral Prata 4th degree,Sun 10:00 AM-12:00 PM,"415 Main St, Red Wing, MN 55066",651-327-7660
Underground Brazilian Jiujitsu,John King,,"215 1st Ave E, Shakopee, MN 55379",952-388-8737
World Jiujitsu Academy,Jeremy Anderson,Tue 6:30 PM (Marathon Roll),"6900 Shady Oak Rd #100, Eden Prairie, MN 55344",612-270-8620
World of Self Defense - Combat Jiujitsu,"Steve Peterson, Roger Fass",Sat 2:00-3:00 PM (?),"5406 43rd Ave S, Minneapolis, MN 55417",612-726-9369
Wrestle Jitsu,Jake Clark,,"St Cloud, MN",
